TIME,%CPU,MEM
2024-03-21 17:04:21,683.0,1521.9375
2024-03-21 17:04:22,698.9,1509.5703125
2024-03-21 17:04:23,691.3,1509.5703125
2024-03-21 17:04:24,690.1,1509.5703125
2024-03-21 17:04:25,687.1,1509.5703125
2024-03-21 17:04:26,681.1,1509.5703125
2024-03-21 17:04:27,686.9,1509.5703125
2024-03-21 17:04:28,683.0,1509.7265625
2024-03-21 17:04:29,681.4,1509.7265625
2024-03-21 17:04:30,685.0,1509.7265625
2024-03-21 17:04:31,710.7,1509.7265625
2024-03-21 17:04:32,684.5,1509.7265625
2024-03-21 17:04:33,681.1,1509.8828125
2024-03-21 17:04:34,684.1,1509.8828125
2024-03-21 17:04:35,682.1,1509.8828125
2024-03-21 17:04:36,689.1,1509.8828125
2024-03-21 17:04:37,696.0,1509.8828125
2024-03-21 17:04:38,688.2,1533.9453125
2024-03-21 17:04:39,709.8,1509.984375
2024-03-21 17:04:40,684.0,1509.984375
2024-03-21 17:04:41,686.3,1509.984375
2024-03-21 17:04:42,677.0,1509.984375
2024-03-21 17:04:43,684.0,1509.984375
2024-03-21 17:04:44,691.3,1509.984375
2024-03-21 17:04:45,698.9,1509.984375
2024-03-21 17:04:46,681.0,1509.984375
2024-03-21 17:04:47,713.3,1509.984375
2024-03-21 17:04:48,686.0,1510.140625
2024-03-21 17:04:49,684.1,1510.140625
2024-03-21 17:04:50,687.1,1510.140625
2024-03-21 17:04:51,682.9,1510.140625
2024-03-21 17:04:52,684.9,1510.140625
2024-03-21 17:04:53,689.4,1510.140625
2024-03-21 17:04:54,695.0,1510.140625
2024-03-21 17:04:55,712.0,1510.140625
2024-03-21 17:04:56,687.1,1510.296875
2024-03-21 17:04:57,687.1,1510.296875
2024-03-21 17:04:58,681.1,1510.296875
2024-03-21 17:04:59,691.1,1529.359375
2024-03-21 17:05:00,696.0,1510.703125
2024-03-21 17:05:01,690.0,1510.703125
2024-03-21 17:05:02,687.2,1548.203125
2024-03-21 17:05:03,695.0,1511.10546875
2024-03-21 17:05:04,696.0,1511.10546875
2024-03-21 17:05:05,705.2,1511.10546875
2024-03-21 17:05:06,686.1,1511.10546875
2024-03-21 17:05:08,685.0,1511.10546875
2024-03-21 17:05:09,691.2,1522.98046875
2024-03-21 17:05:10,688.1,1511.0390625
2024-03-21 17:05:11,686.0,1511.0390625
2024-03-21 17:05:12,690.2,1511.0390625
2024-03-21 17:05:13,695.1,1511.0390625
2024-03-21 17:05:14,712.0,1511.0390625
2024-03-21 17:05:15,693.2,1511.0390625
2024-03-21 17:05:16,686.1,1511.0390625
2024-03-21 17:05:17,682.1,1511.0390625
2024-03-21 17:05:18,692.0,1511.0390625
2024-03-21 17:05:19,691.9,1511.0390625
2024-03-21 17:05:20,690.9,1511.0390625
2024-03-21 17:05:21,693.5,1511.0390625
2024-03-21 17:05:22,713.0,1511.0390625
2024-03-21 17:05:23,691.1,1511.0390625
2024-03-21 17:05:24,693.9,1524.9453125
2024-03-21 17:05:25,676.8,1511.20703125
2024-03-21 17:05:26,693.0,1511.36328125
2024-03-21 17:05:27,684.7,1511.36328125
2024-03-21 17:05:28,696.1,1511.36328125
2024-03-21 17:05:29,695.0,1511.36328125
2024-03-21 17:05:30,709.0,1511.51953125
2024-03-21 17:05:31,694.8,1511.67578125
2024-03-21 17:05:32,693.9,1511.67578125
2024-03-21 17:05:33,706.5,1511.67578125
2024-03-21 17:05:34,694.0,1538.08203125
2024-03-21 17:05:35,681.0,1511.3671875
2024-03-21 17:05:36,683.2,1511.3671875
2024-03-21 17:05:37,691.0,1511.3671875
2024-03-21 17:05:38,687.1,1511.5234375
2024-03-21 17:05:39,702.1,1511.6796875
2024-03-21 17:05:40,691.0,1511.6796875
2024-03-21 17:05:41,704.9,1511.6796875
2024-03-21 17:05:42,703.4,1511.6796875
2024-03-21 17:05:43,697.3,1511.6796875
2024-03-21 17:05:44,684.0,1511.6796875
2024-03-21 17:05:45,687.1,1511.6796875
2024-03-21 17:05:46,682.1,1511.6796875
2024-03-21 17:05:47,690.0,1511.6796875
2024-03-21 17:05:48,682.1,1511.6796875
2024-03-21 17:05:49,694.0,1511.6796875
2024-03-21 17:05:50,698.8,1511.6796875
2024-03-21 17:05:51,694.4,1511.6796875
2024-03-21 17:05:52,700.1,1511.6796875
2024-03-21 17:05:53,707.1,1511.6796875
2024-03-21 17:05:54,688.1,1511.6796875
2024-03-21 17:05:55,681.1,1511.6796875
2024-03-21 17:05:56,692.0,1511.6796875
2024-03-21 17:05:57,681.1,1511.6796875
2024-03-21 17:05:58,688.0,1511.6796875
